6.60E-05,-80.15408793,6.60E-05,-79.88305016,6.60E-05,-79.76783665,6.60E-05,-79.56463117,6.60E-05,-79.49611494
0.000166,-77.53921382,0.000166,-77.35739474,0.000166,-77.25571163,0.000166,-77.074501,0.000166,-77.10307448
0.000266,-76.96617917,0.000266,-77.1513261,0.000266,-77.45992812,0.000266,-77.6986351,0.000266,-77.8395329
0.000366,-77.104405,0.000366,-77.00282269,0.000366,-76.90427653,0.000366,-76.77289613,0.000366,-76.63446284
0.000466,-75.8521698,0.000466,-75.78927879,0.000466,-75.77166449,0.000466,-75.7110154,0.000466,-75.65890539
0.000566,-75.21315608,0.000566,-75.10399537,0.000566,-74.83130287,0.000566,-74.51230543,0.000566,-74.24231206
0.000666,-73.7002161,0.000666,-73.41446833,0.000666,-73.07586996,0.000666,-72.84213789,0.000666,-72.60460931
0.000766,-72.32757027,0.000766,-72.03568459,0.000766,-71.69919909,0.000766,-71.35940826,0.000766,-71.07205911
0.000866,-71.03262166,0.000866,-70.75766061,0.000866,-70.42831638,0.000866,-70.0528965,0.000866,-69.6802779
0.000966,-69.88724963,0.000966,-69.52682064,0.000966,-69.17845281,0.000966,-68.79234549,0.000966,-68.31842295
0.001066,-68.73799436,0.001066,-68.35267024,0.001066,-67.88598857,0.001066,-67.25765426,0.001066,-66.67773275
0.001166,-67.53836844,0.001166,-66.96338555,0.001166,-66.41596844,0.001166,-65.80540585,0.001166,-65.15992742
0.001266,-66.20823082,0.001266,-65.6687661,0.001266,-65.04027987,0.001266,-64.35286944,0.001266,-63.45791115
0.001366,-65.0401182,0.001366,-64.35133657,0.001366,-63.56536635,0.001366,-62.6878465,0.001366,-61.76805318
0.001466,-63.74063109,0.001466,-62.87878001,0.001466,-62.01959796,0.001466,-61.1190634,0.001466,-60.18572263
0.001566,-62.33109476,0.001566,-61.4460596,0.001566,-60.56800126,0.001566,-59.71848973,0.001566,-58.87150982
0.001666,-60.92266111,0.001666,-60.09093309,0.001666,-59.37220078,0.001666,-58.49708102,0.001666,-57.54380152
0.001766,-59.7286042,0.001766,-58.98192391,0.001766,-58.16800423,0.001766,-57.25885,0.001766,-56.18296623
0.001866,-58.69527827,0.001866,-57.88415408,0.001866,-56.97578955,0.001866,-55.99646853,0.001866,-54.87004834
0.001966,-57.63982285,0.001966,-56.73374809,0.001966,-55.8054761,0.001966,-54.82656365,0.001966,-53.637615
0.002066,-56.55528429,0.002066,-55.63159621,0.002066,-54.65453679,0.002066,-53.60001732,0.002066,-52.44895229
0.002166,-55.50715036,0.002166,-54.57249051,0.002166,-53.52767184,0.002166,-52.48844565,0.002166,-51.35204102
0.002266,-54.49908307,0.002266,-53.49184642,0.002266,-52.47466563,0.002266,-51.44768099,0.002266,-50.23629254
0.002366,-53.52386957,0.002366,-52.48964652,0.002366,-51.5098185,0.002366,-50.45642809,0.002366,-49.24285644
0.002466,-52.52855625,0.002466,-51.51795996,0.002466,-50.57653873,0.002466,-49.47095376,0.002466,-48.25029572
0.002566,-51.62610691,0.002566,-50.64470906,0.002566,-49.64708071,0.002566,-48.52021579,0.002566,-47.17858759
0.002666,-50.75456074,0.002666,-49.79194657,0.002666,-48.72697234,0.002666,-47.59475951,0.002666,-46.20197281
0.002766,-49.9649375,0.002766,-48.94736487,0.002766,-47.82302631,0.002766,-46.61495222,0.002766,-45.26541407
0.002866,-49.13904546,0.002866,-48.05608191,0.002866,-46.92199563,0.002866,-45.63141665,0.002866,-44.3372396
0.002966,-48.3171971,0.002966,-47.19305076,0.002966,-45.98028159,0.002966,-44.72984635,0.002966,-43.28426912
0.003066,-47.51740134,0.003066,-46.37665146,0.003066,-45.16440635,0.003066,-43.85868328,0.003066,-42.38255147
0.003166,-46.73333294,0.003166,-45.527733,0.003166,-44.29288873,0.003166,-42.98227058,0.003166,-41.48897001
0.003266,-45.86768264,0.003266,-44.68760467,0.003266,-43.45874995,0.003266,-42.15811538,0.003266,-40.51335834
0.003366,-45.05879917,0.003366,-43.95796468,0.003366,-42.6430785,0.003366,-41.28636377,0.003366,-39.62075034
0.003466,-44.30204156,0.003466,-43.16509669,0.003466,-41.83018971,0.003466,-40.39677209,0.003466,-38.67665015
0.003566,-43.54513163,0.003566,-42.3664105,0.003566,-40.99230669,0.003566,-39.48674641,0.003566,-37.79769881
0.003666,-42.8682017,0.003666,-41.55490684,0.003666,-40.14317357,0.003666,-38.71015508,0.003666,-37.00642583
0.003766,-42.13080432,0.003766,-40.78355694,0.003766,-39.37790364,0.003766,-37.80382582,0.003766,-36.14127084
0.003866,-41.45750396,0.003866,-40.00822461,0.003866,-38.57209113,0.003866,-36.95476249,0.003866,-35.31186212
0.003966,-40.72988795,0.003966,-39.27381433,0.003966,-37.78630939,0.003966,-36.13308555,0.003966,-34.44558034
0.004066,-39.95191991,0.004066,-38.46787805,0.004066,-36.97137753,0.004066,-35.37652465,0.004066,-33.71333135
0.004166,-39.17515753,0.004166,-37.75312305,0.004166,-36.21961683,0.004166,-34.6522786,0.004166,-32.91366673
0.004266,-38.42725698,0.004266,-37.04061099,0.004266,-35.50943466,0.004266,-33.89127629,0.004266,-32.148427
0.004366,-37.75426905,0.004366,-36.31326793,0.004366,-34.76139423,0.004366,-33.15788782,0.004366,-31.3902539
0.004466,-37.05539595,0.004466,-35.5984061,0.004466,-34.09896068,0.004466,-32.41752098,0.004466,-30.64936621
0.004566,-36.42194934,0.004566,-34.95977868,0.004566,-33.35896799,0.004566,-31.74417466,0.004566,-29.92884824
0.004666,-35.76184946,0.004666,-34.2222482,0.004666,-32.75057915,0.004666,-31.06596067,0.004666,-29.19775713
0.004766,-35.127532,0.004766,-33.6104234,0.004766,-32.06279378,0.004766,-30.38541703,0.004766,-28.50376437
0.004866,-34.49095164,0.004866,-33.01676683,0.004866,-31.40860817,0.004866,-29.74581011,0.004866,-27.84369665
0.004966,-33.86961259,0.004966,-32.42490716,0.004966,-30.78678272,0.004966,-29.07337085,0.004966,-27.19357876
0.005066,-33.23975964,0.005066,-31.81789573,0.005066,-30.05828604,0.005066,-28.41424995,0.005066,-26.71400692
0.005166,-32.70717413,0.005166,-31.17205015,0.005166,-29.49806786,0.005166,-27.81144991,0.005166,-26.06864077
0.005266,-32.06036911,0.005266,-30.58199163,0.005266,-28.92497043,0.005266,-27.25797548,0.005266,-25.48147365
0.005366,-31.50193804,0.005366,-29.96327729,0.005366,-28.35740233,0.005366,-26.73128073,0.005366,-24.91444705
