7.80E-05,-85.66904868,7.60E-05,-85.80453669,6.60E-05,-79.76783665,3.80E-05,-78.59817312
0.000178,-82.43239478,0.000176,-83.68567943,0.000166,-77.25571163,0.000138,-69.77727919
0.000278,-78.30109751,0.000276,-83.67634855,0.000266,-77.45992812,0.000238,-54.93654742
0.000378,-74.02496537,0.000376,-82.65057435,0.000366,-76.90427653,0.000338,-46.13975993
0.000478,-69.15051409,0.000476,-81.52104343,0.000466,-75.77166449,0.000438,-39.50972726
0.000578,-63.76549294,0.000576,-80.16396705,0.000566,-74.83130287,0.000538,-31.24249114
0.000678,-60.239226,0.000676,-77.79839259,0.000666,-73.07586996,0.000638,-25.36124645
0.000778,-57.23811667,0.000776,-75.91467273,0.000766,-71.69919909,0.000738,-21.35872926
0.000878,-54.86090203,0.000876,-73.44834209,0.000866,-70.42831638,0.000838,-18.56298317
0.000978,-52.67571332,0.000976,-70.8673893,0.000966,-69.17845281,0.000938,-16.16477859
0.001078,-50.1375057,0.001076,-68.56517932,0.001066,-67.88598857,0.001038,-13.98813716
0.001178,-47.16068116,0.001176,-66.25905611,0.001166,-66.41596844,0.001138,-11.85236048
0.001278,-44.30323996,0.001276,-64.22195046,0.001266,-65.04027987,0.001238,-9.943203097
0.001378,-41.24549848,0.001376,-62.52890613,0.001366,-63.56536635,0.001338,-8.326077541
0.001478,-38.05793123,0.001476,-60.89153306,0.001466,-62.01959796,0.001438,-6.870042287
0.001578,-35.22908668,0.001576,-59.21347731,0.001566,-60.56800126,0.001538,-5.619695697
0.001678,-32.72023398,0.001676,-57.37364384,0.001666,-59.37220078,0.001638,-4.671686035
0.001778,-30.64823014,0.001776,-55.58880755,0.001766,-58.16800423,0.001738,-3.830354821
0.001878,-28.94302272,0.001876,-53.97331773,0.001866,-56.97578955,0.001838,-2.996228996
0.001978,-26.99782594,0.001976,-52.5212343,0.001966,-55.8054761,0.001938,-2.260741122
0.002078,-24.92630232,0.002076,-51.02744746,0.002066,-54.65453679,0.002038,-1.765566379
0.002178,-22.84258988,0.002176,-49.64995121,0.002166,-53.52767184,0.002138,-1.211832846
0.002278,-20.85910779,0.002276,-48.2212769,0.002266,-52.47466563,0.002238,-0.826706002
0.002378,-18.81750641,0.002376,-46.63143324,0.002366,-51.5098185,0.002338,-0.453397211
0.002478,-16.70147709,0.002476,-45.21236165,0.002466,-50.57653873,0.002438,-0.175597798
0.002578,-14.62151426,0.002576,-43.75978597,0.002566,-49.64708071,0.002538,0.103540169
0.002678,-12.42620924,0.002676,-42.44469987,0.002666,-48.72697234,0.002638,0.247086973
0.002778,-10.3762843,0.002776,-41.17978667,0.002766,-47.82302631,0.002738,0.376523875
0.002878,-8.47656869,0.002876,-39.84217585,0.002866,-46.92199563,0.002838,0.543825313
0.002978,-6.866578723,0.002976,-38.62606489,0.002966,-45.98028159,0.002938,0.633359754
0.003078,-5.317148911,0.003076,-37.31798587,0.003066,-45.16440635,0.003038,0.655469948
0.003178,-4.076917465,0.003176,-36.09885761,0.003166,-44.29288873,0.003138,0.652374909
0.003278,-2.964315608,0.003276,-34.7812856,0.003266,-43.45874995,0.003238,0.57906216
0.003378,-1.876795388,0.003376,-33.57160869,0.003366,-42.6430785,0.003338,0.615151707
0.003478,-0.98510497,0.003476,-32.36680646,0.003466,-41.83018971,0.003438,0.631606136
0.003578,-0.33517843,0.003576,-31.22153608,0.003566,-40.99230669,0.003538,0.563242532
0.003678,0.154940488,0.003676,-30.23963418,0.003666,-40.14317357,0.003638,0.481900033
0.003778,0.55453236,0.003776,-29.30657096,0.003766,-39.37790364,0.003738,0.435832765
0.003878,0.847432289,0.003876,-28.45840445,0.003866,-38.57209113,0.003838,0.443377617
